season,location_col,Seabass & Porpoise,Dolphins & Porpoise
September Equinox,bpns-Belwindreefballs-CPOD,0.7358765196827667,NA
September Equinox,bpns-Birkenfels,0.9643030103564562,0.5008371513211627
September Equinox,bpns-Gardencity,0.9160702599324582,NA
September Equinox,bpns-Nauticaena,0.6417287125019795,NA
December Solstice,bpns-Belwindreefballs-CPOD,0.487180145610536,NA
December Solstice,bpns-Birkenfels,0.9158519944772667,0.7423880571707233
December Solstice,bpns-Gardencity,0.9236634750921902,0.6885851562511924
December Solstice,bpns-Nauticaena,NA,NA
March Equinox,bpns-Belwindreefballs-CPOD,0.7148410714903111,NA
March Equinox,bpns-Birkenfels,0.6345816324536631,NA
March Equinox,bpns-Gardencity,0.3296300261079689,NA
March Equinox,bpns-Nauticaena,0.8595726634064225,NA
March Equinox,bpns-Faulbaums,0.8754011170894853,NA
June Solstice,bpns-Belwindreefballs-CPOD,0.6912859708043637,NA
June Solstice,bpns-Birkenfels,NA,0.39992038711681427
June Solstice,bpns-Gardencity,0.23676097458338186,0.6161459361348426
